record_id,animal_type,date,time,location_x,location_y,movement_speed_mps,activity,temperature_c,is_near_water,steps_taken
1,Wolf,2024-01-01,00:00:00,224.2591,348.2058,7.998,Exploring,35.76,False,548
2,Deer,2024-01-01,01:00:00,336.0012,356.5955,5.361,Exploring,38.61,True,497
3,Boar,2024-01-01,02:00:00,412.3212,654.2337,0.3,Running,28.34,True,669
4,Monkey,2024-01-01,03:00:00,594.5883,660.6655,7.778,Resting,23.96,True,184
5,Wolf,2024-01-01,04:00:00,850.4926,58.3011,9.084,Walking,10.24,False,196
6,Bear,2024-01-01,05:00:00,254.2035,626.0045,4.486,Chasing,31.96,True,103
7,Leopard,2024-01-01,06:00:00,470.8888,657.8523,4.914,Eating,27.41,True,729
8,Wolf,2024-01-01,07:00:00,751.5339,457.5236,2.046,Resting,25.42,False,512
9,Boar,2024-01-01,08:00:00,87.385,827.8652,7.734,Running,14.09,False,264
10,Monkey,2024-01-01,09:00:00,512.8935,9.1001,9.314,Running,13.16,False,93
11,Deer,2024-01-01,10:00:00,144.3797,968.3747,7.192,Chasing,38.2,True,717
12,Boar,2024-01-01,11:00:00,539.1489,376.0249,7.724,Eating,30.79,False,589
13,Boar,2024-01-01,12:00:00,767.8228,595.6984,10.467,Walking,16.58,False,107
14,Leopard,2024-01-01,13:00:00,236.9474,34.3254,11.012,Eating,27.35,False,363
15,Fox,2024-01-01,14:00:00,849.4784,708.9003,8.135,Walking,30.81,False,307
16,Monkey,2024-01-01,15:00:00,334.8041,543.7007,2.023,Eating,31.41,False,784
17,Tiger,2024-01-01,16:00:00,190.7849,960.3651,1.392,Eating,10.53,False,504
18,Boar,2024-01-01,17:00:00,465.3234,422.5307,10.039,Eating,38.61,True,543
19,Fox,2024-01-01,18:00:00,876.0751,721.8732,7.813,Resting,24.39,True,79
20,Tiger,2024-01-01,19:00:00,68.9331,74.2278,2.617,Drinking,32.27,True,509
21,Monkey,2024-01-01,20:00:00,327.5715,64.5311,2.515,Chasing,31.06,False,491
22,Elephant,2024-01-01,21:00:00,653.1632,949.0077,0.643,Drinking,38.5,False,249
23,Bear,2024-01-01,22:00:00,357.5809,253.3046,6.072,Running,19.21,True,37
24,Fox,2024-01-01,23:00:00,70.824,912.395,1.435,Resting,30.01,False,58
25,Rabbit,2024-01-02,00:00:00,331.999,87.6233,4.621,Walking,11.23,True,51
26,Elephant,2024-01-02,01:00:00,820.9594,637.7392,2.4,Hiding,11.33,True,277
27,Bear,2024-01-02,02:00:00,968.0375,551.5838,8.747,Exploring,30.78,True,181
28,Leopard,2024-01-02,03:00:00,39.7792,966.1785,0.063,Hiding,20.3,True,139
29,Wolf,2024-01-02,04:00:00,569.2838,404.013,4.542,Resting,16.59,False,563
30,Deer,2024-01-02,05:00:00,105.3034,48.4067,0.537,Hiding,25.27,True,747
31,Rabbit,2024-01-02,06:00:00,680.3965,474.0786,0.595,Eating,27.68,True,387
32,Leopard,2024-01-02,07:00:00,7.8922,824.1855,1.148,Exploring,10.57,True,715
33,Monkey,2024-01-02,08:00:00,14.7416,52.4654,3.295,Exploring,39.86,False,537
34,Leopard,2024-01-02,09:00:00,776.8798,36.1949,9.398,Walking,22.58,True,10
35,Wolf,2024-01-02,10:00:00,74.4353,821.7513,6.542,Chasing,16.75,True,165
36,Monkey,2024-01-02,11:00:00,305.1817,823.9752,1.675,Walking,12.51,True,298
37,Rabbit,2024-01-02,12:00:00,958.0404,199.9789,4.685,Eating,16.27,False,410
38,Wolf,2024-01-02,13:00:00,985.2471,657.4762,10.945,Resting,32.3,False,388
39,Tiger,2024-01-02,14:00:00,161.4029,64.272,5.051,Chasing,39.14,False,650
40,Deer,2024-01-02,15:00:00,560.9019,765.6105,11.379,Running,16.27,True,265
41,Rabbit,2024-01-02,16:00:00,559.1488,305.1967,11.03,Eating,39.5,True,41
42,Tiger,2024-01-02,17:00:00,452.3807,230.512,4.766,Resting,19.14,True,124
43,Bear,2024-01-02,18:00:00,924.7002,677.6437,7.783,Chasing,27.46,True,683
44,Rabbit,2024-01-02,19:00:00,754.0339,911.5586,9.453,Hiding,38.46,False,283
45,Bear,2024-01-02,20:00:00,764.5269,41.505,2.162,Eating,21.3,True,126
46,Monkey,2024-01-02,21:00:00,269.5694,143.7367,6.363,Running,17.21,True,670
47,Tiger,2024-01-02,22:00:00,434.3198,255.7292,1.238,Eating,19.52,True,489
48,Deer,2024-01-02,23:00:00,487.4237,927.7971,6.04,Walking,37.39,True,491
49,Wolf,2024-01-03,00:00:00,298.912,877.1592,1.54,Chasing,38.77,False,522
50,Boar,2024-01-03,01:00:00,94.8178,907.1724,9.297,Resting,19.21,True,187
51,Leopard,2024-01-03,02:00:00,126.3592,378.3723,7.39,Running,33.9,True,630
52,Elephant,2024-01-03,03:00:00,180.6711,231.6307,7.769,Exploring,26.01,True,328
53,Deer,2024-01-03,04:00:00,203.6533,191.6611,2.949,Running,13.25,True,535
54,Tiger,2024-01-03,05:00:00,242.2618,881.9531,7.304,Exploring,36.61,True,237
55,Boar,2024-01-03,06:00:00,255.46,231.2225,8.987,Resting,20.55,True,542
56,Deer,2024-01-03,07:00:00,455.7163,530.839,3.726,Exploring,29.33,False,406
57,Tiger,2024-01-03,08:00:00,509.5732,331.7393,11.364,Eating,36.6,True,331
58,Fox,2024-01-03,09:00:00,308.8792,498.9354,4.516,Walking,38.7,False,107
59,Fox,2024-01-03,10:00:00,907.2964,345.767,4.307,Chasing,33.7,False,489
60,Bear,2024-01-03,11:00:00,553.1397,292.9487,4.622,Drinking,34.84,True,174
61,Deer,2024-01-03,12:00:00,787.4769,427.323,10.837,Walking,15.14,False,85
62,Fox,2024-01-03,13:00:00,924.2378,332.9255,3.685,Chasing,22.55,True,459
63,Tiger,2024-01-03,14:00:00,163.1351,839.6913,7.364,Exploring,12.36,False,614
64,Bear,2024-01-03,15:00:00,427.8745,580.6566,3.167,Exploring,28.2,True,73
65,Tiger,2024-01-03,16:00:00,433.2104,176.167,9.31,Eating,25.25,True,338
66,Bear,2024-01-03,17:00:00,354.4723,235.9457,11.862,Eating,24.83,False,485
67,Deer,2024-01-03,18:00:00,8.9059,53.5535,11.686,Hiding,18.94,False,15
68,Boar,2024-01-03,19:00:00,815.9721,299.6886,1.422,Walking,23.92,True,191
69,Wolf,2024-01-03,20:00:00,111.5593,669.5182,9.736,Resting,30.5,False,695
70,Rabbit,2024-01-03,21:00:00,995.4806,182.9584,7.771,Hiding,14.36,False,731
71,Boar,2024-01-03,22:00:00,772.9585,99.2024,9.077,Chasing,34.81,False,280
72,Monkey,2024-01-03,23:00:00,580.01,321.0154,4.581,Resting,19.38,True,765
73,Tiger,2024-01-04,00:00:00,154.6064,612.5222,4.171,Walking,26.47,False,293
74,Monkey,2024-01-04,01:00:00,515.393,472.78,5.207,Drinking,27.1,False,784
75,Boar,2024-01-04,02:00:00,261.1087,332.1903,11.964,Eating,19.22,False,324
76,Bear,2024-01-04,03:00:00,252.3225,882.9518,1.951,Chasing,30.84,True,763
77,Rabbit,2024-01-04,04:00:00,829.5292,468.5577,11.029,Eating,31.29,True,322
78,Rabbit,2024-01-04,05:00:00,380.6444,455.0467,6.458,Eating,31.78,True,425
79,Elephant,2024-01-04,06:00:00,450.7238,31.6568,7.91,Drinking,16.12,True,790
80,Rabbit,2024-01-04,07:00:00,842.9647,639.3428,1.058,Drinking,25.81,True,520
81,Wolf,2024-01-04,08:00:00,87.7906,459.3449,9.938,Hiding,27.94,True,395
82,Rabbit,2024-01-04,09:00:00,594.6179,145.0771,1.074,Walking,15.19,True,239
83,Boar,2024-01-04,10:00:00,578.2157,243.7392,8.21,Walking,18.53,False,567
84,Elephant,2024-01-04,11:00:00,425.2146,202.3637,7.64,Resting,14.68,True,657
85,Boar,2024-01-04,12:00:00,829.7746,122.0982,11.868,Resting,14.92,True,220
86,Boar,2024-01-04,13:00:00,942.8901,435.5414,10.517,Chasing,14.89,True,797
87,Leopard,2024-01-04,14:00:00,465.3359,363.2871,4.609,Hiding,25.27,True,565
88,Elephant,2024-01-04,15:00:00,456.1471,360.123,10.869,Drinking,38.67,True,60
89,Boar,2024-01-04,16:00:00,502.0637,251.5282,0.941,Resting,13.23,True,387
90,Leopard,2024-01-04,17:00:00,723.124,436.4265,3.283,Hiding,20.21,True,134
91,Leopard,2024-01-04,18:00:00,668.0603,547.523,11.166,Eating,24.14,True,81
92,Elephant,2024-01-04,19:00:00,222.8349,611.5018,6.371,Hiding,13.26,False,104
93,Monkey,2024-01-04,20:00:00,63.8953,219.8257,3.644,Drinking,29.13,True,286
94,Bear,2024-01-04,21:00:00,949.2541,727.8434,2.238,Drinking,13.41,True,472
95,Wolf,2024-01-04,22:00:00,261.0698,27.0291,4.903,Drinking,31.68,True,674
96,Bear,2024-01-04,23:00:00,638.5967,750.4402,11.13,Running,15.37,True,215
97,Rabbit,2024-01-05,00:00:00,828.438,282.9676,11.18,Hiding,15.21,False,100
98,Wolf,2024-01-05,01:00:00,300.2768,370.0009,7.428,Drinking,15.41,True,32
99,Rabbit,2024-01-05,02:00:00,635.4334,580.7113,1.069,Running,17.05,False,33
100,Boar,2024-01-05,03:00:00,107.9002,610.4514,5.141,Chasing,17.8,True,242
101,Tiger,2024-01-05,04:00:00,969.9314,421.1547,6.699,Hiding,36.39,False,733
102,Elephant,2024-01-05,05:00:00,58.1583,937.8989,8.887,Eating,26.67,True,706
103,Wolf,2024-01-05,06:00:00,438.1747,858.3254,10.95,Walking,25.24,True,506
104,Wolf,2024-01-05,07:00:00,536.8192,225.0366,11.952,Chasing,30.16,False,444
105,Boar,2024-01-05,08:00:00,790.4818,588.9102,4.935,Hiding,10.07,True,571
106,Monkey,2024-01-05,09:00:00,121.1285,720.985,10.607,Running,28.35,True,675
107,Leopard,2024-01-05,10:00:00,440.808,216.9436,9.929,Walking,11.11,False,155
108,Boar,2024-01-05,11:00:00,299.7116,18.4504,7.001,Exploring,26.64,True,26
109,Fox,2024-01-05,12:00:00,312.0107,975.6045,6.824,Resting,31.26,False,698
110,Leopard,2024-01-05,13:00:00,778.7879,958.3484,11.778,Drinking,10.24,False,384
111,Elephant,2024-01-05,14:00:00,5.4609,320.3477,4.511,Resting,12.37,False,296
112,Leopard,2024-01-05,15:00:00,749.0836,239.1148,5.243,Chasing,15.89,False,376
113,Monkey,2024-01-05,16:00:00,810.3984,154.6147,6.03,Exploring,33.75,True,91
114,Leopard,2024-01-05,17:00:00,901.3622,687.1458,8.6,Exploring,34.69,True,95
115,Elephant,2024-01-05,18:00:00,626.8818,755.2917,6.288,Running,31.66,False,147
116,Monkey,2024-01-05,19:00:00,333.4553,420.4023,7.203,Exploring,13.97,True,78
117,Bear,2024-01-05,20:00:00,427.2347,242.8094,4.593,Drinking,28.58,True,495
118,Wolf,2024-01-05,21:00:00,969.7361,448.7238,0.756,Hiding,18.88,True,337
119,Wolf,2024-01-05,22:00:00,881.1868,516.3594,7.298,Running,12.31,False,565
120,Rabbit,2024-01-05,23:00:00,463.5259,543.4039,7.439,Drinking,25.38,True,10
121,Bear,2024-01-06,00:00:00,943.063,443.3675,3.691,Resting,37.26,False,749
122,Bear,2024-01-06,01:00:00,822.9549,3.7337,7.428,Drinking,16.67,False,600
123,Leopard,2024-01-06,02:00:00,901.0899,471.7778,7.415,Exploring,28.14,False,35
124,Wolf,2024-01-06,03:00:00,682.9772,347.2719,4.323,Eating,28.32,False,163
125,Elephant,2024-01-06,04:00:00,857.654,556.562,8.765,Drinking,36.8,True,702
126,Deer,2024-01-06,05:00:00,891.7661,69.3786,7.072,Resting,26.13,False,106
127,Deer,2024-01-06,06:00:00,92.0166,879.1893,1.22,Exploring,15.45,True,438
128,Monkey,2024-01-06,07:00:00,965.217,875.441,5.638,Chasing,11.01,True,704
129,Wolf,2024-01-06,08:00:00,333.6131,564.1154,10.538,Hiding,25.72,False,321
130,Wolf,2024-01-06,09:00:00,439.8995,737.1197,9.179,Resting,22.01,False,78
131,Deer,2024-01-06,10:00:00,791.9038,437.9037,1.696,Resting,19.41,True,510
132,Wolf,2024-01-06,11:00:00,664.8963,590.2998,11.429,Running,38.58,False,358
133,Leopard,2024-01-06,12:00:00,893.0599,617.6742,3.012,Exploring,39.45,True,313
134,Fox,2024-01-06,13:00:00,400.5738,353.8886,4.16,Walking,30.26,False,84
135,Tiger,2024-01-06,14:00:00,373.2882,960.8722,2.469,Walking,29.4,True,395
136,Bear,2024-01-06,15:00:00,31.6888,602.6037,8.748,Drinking,19.19,True,207
137,Rabbit,2024-01-06,16:00:00,462.7254,990.5315,6.702,Eating,12.17,True,454
138,Monkey,2024-01-06,17:00:00,724.0708,432.3708,6.862,Exploring,18.0,True,643
139,Fox,2024-01-06,18:00:00,301.1787,32.3208,8.306,Hiding,15.69,False,767
140,Deer,2024-01-06,19:00:00,462.7265,302.437,7.064,Resting,37.96,True,576
141,Bear,2024-01-06,20:00:00,219.3978,650.7877,4.087,Hiding,24.45,True,737
142,Wolf,2024-01-06,21:00:00,772.7878,910.3435,11.098,Chasing,10.89,True,406
143,Rabbit,2024-01-06,22:00:00,60.5116,615.1642,6.925,Chasing,15.86,True,400
144,Wolf,2024-01-06,23:00:00,705.3831,471.7637,8.755,Chasing,33.21,True,708
145,Elephant,2024-01-07,00:00:00,378.94,80.743,1.849,Resting,22.25,True,547
146,Elephant,2024-01-07,01:00:00,41.5961,144.7564,4.339,Chasing,38.87,True,128
147,Rabbit,2024-01-07,02:00:00,853.4696,53.4694,9.306,Exploring,32.39,False,213
148,Rabbit,2024-01-07,03:00:00,487.7219,711.1824,4.047,Hiding,29.16,False,94
149,Deer,2024-01-07,04:00:00,599.319,831.0914,8.71,Eating,36.56,False,101
150,Rabbit,2024-01-07,05:00:00,732.0307,164.439,5.895,Running,24.23,True,479
151,Leopard,2024-01-07,06:00:00,655.0744,325.2323,9.577,Running,28.7,False,468
152,Wolf,2024-01-07,07:00:00,730.8569,479.1077,8.885,Walking,30.76,True,140
153,Fox,2024-01-07,08:00:00,762.2817,142.7865,3.033,Running,15.2,False,772
154,Boar,2024-01-07,09:00:00,589.1515,416.1913,1.799,Chasing,13.83,True,796
155,Rabbit,2024-01-07,10:00:00,365.6378,966.8321,4.424,Walking,18.08,True,548
156,Monkey,2024-01-07,11:00:00,243.1421,719.1482,3.154,Hiding,24.62,False,468
157,Elephant,2024-01-07,12:00:00,902.9032,166.9318,4.244,Hiding,11.67,True,608
158,Leopard,2024-01-07,13:00:00,969.9248,98.8146,0.811,Hiding,20.3,True,343
159,Bear,2024-01-07,14:00:00,357.6628,445.1509,5.447,Walking,14.69,True,786
160,Boar,2024-01-07,15:00:00,112.3107,987.9511,8.01,Chasing,17.57,False,790
161,Fox,2024-01-07,16:00:00,222.5373,793.2826,4.175,Walking,17.43,True,695
162,Boar,2024-01-07,17:00:00,670.6673,293.1234,8.204,Walking,26.17,True,152
163,Rabbit,2024-01-07,18:00:00,172.9334,26.2807,8.022,Running,15.91,False,108
164,Deer,2024-01-07,19:00:00,780.1223,411.2889,0.88,Resting,15.78,False,733
165,Elephant,2024-01-07,20:00:00,923.0302,160.5373,9.775,Exploring,36.09,True,140
166,Elephant,2024-01-07,21:00:00,963.6515,180.2809,1.309,Walking,26.73,True,571
167,Bear,2024-01-07,22:00:00,9.3255,162.2982,6.08,Chasing,24.33,False,378
168,Deer,2024-01-07,23:00:00,958.1542,719.6077,10.68,Walking,32.44,True,318
169,Wolf,2024-01-08,00:00:00,740.1944,35.8414,10.994,Walking,14.75,True,328
170,Tiger,2024-01-08,01:00:00,84.0502,564.7329,4.792,Drinking,18.99,False,10
171,Leopard,2024-01-08,02:00:00,415.2405,752.5209,0.0,Running,23.76,False,753
172,Elephant,2024-01-08,03:00:00,700.0455,156.4091,6.839,Running,34.42,False,119
173,Monkey,2024-01-08,04:00:00,956.6855,892.931,11.958,Drinking,14.68,True,761
174,Elephant,2024-01-08,05:00:00,164.1414,78.1344,8.035,Exploring,38.58,False,193
175,Boar,2024-01-08,06:00:00,127.7333,682.706,2.518,Exploring,21.14,True,442
176,Elephant,2024-01-08,07:00:00,472.3471,171.9645,6.469,Exploring,39.61,True,532
177,Elephant,2024-01-08,08:00:00,968.0989,806.0318,6.7,Hiding,26.74,True,597
178,Tiger,2024-01-08,09:00:00,971.3792,571.3978,9.076,Running,22.12,False,556
179,Tiger,2024-01-08,10:00:00,227.9147,589.2058,10.168,Exploring,27.23,False,176
180,Fox,2024-01-08,11:00:00,319.3471,346.0225,10.141,Drinking,21.57,True,345
181,Wolf,2024-01-08,12:00:00,908.032,283.2627,10.342,Walking,18.09,True,784
182,Monkey,2024-01-08,13:00:00,734.8415,463.3211,10.725,Resting,25.05,False,190
183,Elephant,2024-01-08,14:00:00,972.3164,757.7138,4.471,Running,18.84,True,382
184,Elephant,2024-01-08,15:00:00,893.1484,168.2198,4.548,Hiding,37.79,True,344
185,Leopard,2024-01-08,16:00:00,215.0961,816.2695,5.558,Hiding,22.59,False,596
186,Tiger,2024-01-08,17:00:00,759.7269,479.8379,8.505,Hiding,19.89,False,87
